feature,coefficient,abs_coefficient
peak_over_mean_ratio,-21.150376233980495,21.150376233980495
peak_minus_mean,12.770417158366945,12.770417158366945
peak_acc,10.517052787124697,10.517052787124697
mean_acc,-6.639316479932858,6.639316479932858
jerk_rms,4.454062998154489,4.454062998154489
acc_variance,-4.204137915778654,4.204137915778654
gyro_mean,-3.057568404181533,3.057568404181533
jerk_mean,-1.4363318611431393,1.4363318611431393
gyro_peak,1.1809112704497517,1.1809112704497517
stage_impact_pass,-1.0984442477805685,1.0984442477805685
post_impact_variance,0.9091191163138688,0.9091191163138688
post_impact_dyn_rms,0.8142415691124408,0.8142415691124408
post_impact_dyn_ratio_rms,0.8142415691124408,0.8142415691124408
post_impact_dyn_mean,-0.7486381690989057,0.7486381690989057
post_impact_dyn_ratio_mean,-0.7486381690989057,0.7486381690989057
post_impact_motion_to_peak_ratio,0.6469688989473171,0.6469688989473171
acc_baseline,-0.6273306012733488,0.6273306012733488
jerk_peak,-0.31875819475844736,0.31875819475844736
post_impact_motion,-0.11632959695255242,0.11632959695255242
stage_support_pass,0.0,0.0
stage_confirm_pass,0.0,0.0
